node	Location	genotype
FJ024473	South America	AsianAmerican
FJ639732	South America	AsianAmerican
GQ868558	South America	AsianAmerican
GU131947	South America	AsianAmerican
EU687216	Caribbean	AsianAmerican
n188	South America	AsianAmerican
FJ898453	Caribbean	AsianAmerican
n326	South-eastern Asia	AsianI
FJ639704	South-eastern Asia	AsianI
n260	South-eastern Asia	AsianI
n321	South-eastern Asia	AsianI
n329	South-eastern Asia	AsianI
FJ687442	South-eastern Asia	AsianI
EU482554	Caribbean	AsianAmerican
EU677144	Caribbean	AsianAmerican
n84	Caribbean	AsianAmerican
EU482729	Caribbean	AsianAmerican
n86	Caribbean	AsianAmerican
EU482565	Caribbean	AsianAmerican
GQ398314	Caribbean	AsianAmerican
GQ398308	Caribbean	AsianAmerican
n104	Caribbean	AsianAmerican
GQ398297	Caribbean	AsianAmerican
GQ398291	Caribbean	AsianAmerican
GQ398286	Caribbean	AsianAmerican
n177	Central America	AsianAmerican
GQ868515	Central America	AsianAmerican
n147	Central America	AsianAmerican
FJ873808	Central America	AsianAmerican
n143	Central America	AsianAmerican
GU369819	Central America	AsianAmerican
GQ199898	Central America	AsianAmerican
FJ850065	Central America	AsianAmerican
FJ744744	Central America	AsianAmerican
FJ850120	Central America	AsianAmerican
n153	Central America	AsianAmerican
FJ882594	Central America	AsianAmerican
EU482687	Central America	AsianAmerican
n165	Central America	AsianAmerican
EU596500	Central America	AsianAmerican
n128	South America	AsianAmerican
HQ332189	South America	AsianAmerican
n133	South America	AsianAmerican
FJ850108	South America	AsianAmerican
n189	South America	AsianAmerican
EU920842	South America	AsianAmerican
GU131927	South-eastern Asia	AsianI
FJ639710	South-eastern Asia	AsianI
n261	South-eastern Asia	AsianI
n319	South-eastern Asia	AsianI
n322	South-eastern Asia	AsianI
GU131924	South-eastern Asia	AsianI
n330	South-eastern Asia	AsianI
n332	South-eastern Asia	AsianI
EU569719	Caribbean	AsianAmerican
EU482728	Caribbean	AsianAmerican
n87	Caribbean	AsianAmerican
EU677143	Caribbean	AsianAmerican
EU482561	Caribbean	AsianAmerican
GQ398302	Caribbean	AsianAmerican
GQ868497	Central America	AsianAmerican
GU131959	Central America	AsianAmerican
n148	Central America	AsianAmerican
GQ199897	Central America	AsianAmerican
n144	Central America	AsianAmerican
KJ189308	Central America	AsianAmerican
FJ906956	Central America	AsianAmerican
n155	Central America	AsianAmerican
EU482762	Central America	AsianAmerican
n166	Central America	AsianAmerican
n167	Central America	AsianAmerican
FJ850106	South America	AsianAmerican
EU482605	South America	AsianAmerican
GQ868641	South America	AsianAmerican
HQ332188	South America	AsianAmerican
HQ332186	South America	AsianAmerican
n190	South America	AsianAmerican
n193	South America	AsianAmerican
GQ199892	Caribbean	AsianAmerican
n262	South-eastern Asia	AsianI
n279	South-eastern Asia	AsianI
n268	South-eastern Asia	AsianI
n271	South-eastern Asia	AsianI
EU482468	South-eastern Asia	AsianI
EU482784	South-eastern Asia	AsianI
n320	South-eastern Asia	AsianI
FJ744724	South-eastern Asia	AsianI
GU131932	South-eastern Asia	AsianI
n324	South-eastern Asia	AsianI
FJ639718	South-eastern Asia	AsianI
n331	South-eastern Asia	AsianI
GQ868638	South-eastern Asia	AsianI
n333	South-eastern Asia	AsianI
GQ868622	South-eastern Asia	AsianI
EU677146	Caribbean	AsianAmerican
n89	Caribbean	AsianAmerican
n92	Caribbean	AsianAmerican
n93	Caribbean	AsianAmerican
FJ850061	Central America	AsianAmerican
FJ850121	Central America	AsianAmerican
KJ189309	Central America	AsianAmerican
GQ199894	Central America	AsianAmerican
EU482444	Central America	AsianAmerican
FJ906961	Central America	AsianAmerican
FJ744741	Central America	AsianAmerican
EU482635	Central America	AsianAmerican
FJ410291	Central America	AsianAmerican
EU482639	Central America	AsianAmerican
