node	Location
FJ639718_FJ639718.3	South-eastern Asia
EU482728.3	Caribbean
EU482728.2	Caribbean
EU529706_EU529706.2	Caribbean
EU596490_EU596490.1	Caribbean
0.632601	Central America
FJ850061_FJ850061.1	Central America
FJ873808.1_FJ873808.2	Central America
FJ873808	Central America
GQ199894_GQ199894.2	Central America
KJ189308	Central America
GU369819.1	Central America
GU369819	Central America
FJ850066	Central America
FJ850066.1	Central America
FJ744704.1	Central America
FJ744704	Central America
EU482635_FJ410291.1	Central America
FJ906956	Central America
FJ882594.1	Central America
FJ882594	Central America
FJ850120.1	Central America
FJ850120.2	Central America
FJ850050_HQ705625.1	Central America
FJ205885_JF357906.1	Central America
JN819408.1	South America
JN819408.2	South America
GQ868641_GQ868641.1	South America
HQ332189	South America
FJ639733.1	South America
FJ639733	South America
HQ332186_HQ332186.1	South America
FJ850108	South America
JN819407	South America
JN819407.2	South America
JN819407.1	South America
0.783675	South America
JX669476	South America
EU920850.1	Caribbean
EU920850	Caribbean
EU482669_FM210214	South-eastern Asia
EU482464_EU482676	South-eastern Asia
EU482451_FJ410221	South-eastern Asia
EU660413	South-eastern Asia
EU482469_FJ410259	South-eastern Asia
FM210211	South-eastern Asia
GQ868631_GQ868631.1	South-eastern Asia
KF955402	South-eastern Asia
FJ639718.1_FJ639718.3	South-eastern Asia
FJ639718	South-eastern Asia
EU529706	Caribbean
EU529706.2	Caribbean
EU529706.1	Caribbean
EU596490.1	Caribbean
EU596490	Caribbean
FJ850121_FJ850121.2	Central America
GQ199897	Central America
FJ850061.1	Central America
FJ850061	Central America
FJ873808.1	Central America
FJ873808.2	Central America
GQ199894.1_GQ199894.2	Central America
GQ199894	Central America
FJ410291_FJ410291.1	Central America
EU482635	Central America
HQ705625_HQ705625.1	Central America
FJ850050	Central America
JF357906_JF357906.1	Central America
FJ205885	Central America
GQ868641.1	South America
GQ868641	South America
HQ332186	South America
HQ332186.1	South America
0.998333	South America
GU131881_HM181971	South America
EU482669_EU482669.1	South-eastern Asia
FM210214	South-eastern Asia
EU482467_EU482676	South-eastern Asia
EU482464_EU482705	South-eastern Asia
EU482451_EU482661	South-eastern Asia
FJ410221	South-eastern Asia
EU482469_EU482541	South-eastern Asia
FJ410259	South-eastern Asia
GQ868631	South-eastern Asia
GQ868631.1	South-eastern Asia
FJ639718.2_FJ639718.3	South-eastern Asia
FJ639718.1	South-eastern Asia
FJ850121.1_FJ850121.2	Central America
FJ850121	Central America
GQ199894.1	Central America
GQ199894.2	Central America
FJ410291	Central America
FJ410291.1	Central America
HQ705625.1	Central America
HQ705625	Central America
JF357906.1	Central America
JF357906	Central America
JX286520_KC294211	South America
JX669478	South America
GU131881_GU131881.1	South America
HM181971	South America
EU482669.1	South-eastern Asia
EU482669	South-eastern Asia
EU482676	South-eastern Asia
EU482467_FJ205877.1	South-eastern Asia
0.999995	South-eastern Asia
0.769572	South-eastern Asia
EU482705	South-eastern Asia
EU482451_FJ410224.1	South-eastern Asia
EU482661	South-eastern Asia
0.763182	South-eastern Asia
EU482541	South-eastern Asia
FJ639718.3	South-eastern Asia
FJ639718.2	South-eastern Asia
FJ850121.2	Central America
FJ850121.1	Central America
JX286520	South America
KC294211	South America
GU131881.1	South America
GU131881	South America
0.977729	South-eastern Asia
0.999988	South-eastern Asia
EU482642	South-eastern Asia
0.542206	South-eastern Asia
