node	Location
FJ850066.1	Central America
EU482639_FJ906961	Central America
EU482762_EU482762.3	Central America
FJ906956	Central America
FJ906956.1	Central America
EU920846.1_EU920846.2	South America
EU920846	South America
0.455472	South America
JX286525_JX286525.2	South America
HM181971	South America
HM181971.1	South America
EU482464_EU482676	South-eastern Asia
EU482649_EU482649.3	South-eastern Asia
0.999991	South-eastern Asia
FJ410221_FJ410221.3	South-eastern Asia
FM210211.1	South-eastern Asia
FM210211	South-eastern Asia
EU482469_FJ432726	South-eastern Asia
FJ410259	South-eastern Asia
FJ850066.3	Central America
FJ850066.2	Central America
0.979884	Central America
FJ906961	Central America
EU482762.1_EU482762.3	Central America
EU482762	Central America
EU920846.1	South America
EU920846.2	South America
JX286520_JX286520.1	South America
KC294211	South America
JX286525.1_JX286525.2	South America
JX286525	South America
EU482642_EU482676	South-eastern Asia
EU482464_EU482705.1	South-eastern Asia
EU482649	South-eastern Asia
EU482649.1	South-eastern Asia
EU482649.2	South-eastern Asia
EU482649.3	South-eastern Asia
0.999997	South-eastern Asia
EU482661_EU482661.1	South-eastern Asia
FJ410221.1_FJ410221.3	South-eastern Asia
FJ410221	South-eastern Asia
0.986437	South-eastern Asia
EU482469_EU482541	South-eastern Asia
FJ744741	Central America
EU482639	Central America
EU482762.2_EU482762.3	Central America
EU482762.1	Central America
JX286520	South America
JX286520.1	South America
JX286525.2	South America
JX286525.1	South America
0.521402	South-eastern Asia
EU482676	South-eastern Asia
0.961778	South-eastern Asia
EU482705_EU482705.1	South-eastern Asia
FJ410224_FJ410224.1	South-eastern Asia
EU482451	South-eastern Asia
EU482661	South-eastern Asia
EU482661.1	South-eastern Asia
FJ410221.2_FJ410221.3	South-eastern Asia
FJ410221.1	South-eastern Asia
FJ432726	South-eastern Asia
FJ410228	South-eastern Asia
EU482469_EU482469.1	South-eastern Asia
EU482541	South-eastern Asia
EU482762.2	Central America
EU482762.3	Central America
EU482642_GU131899.1	South-eastern Asia
0.999822	South-eastern Asia
EU482659_EU482659.2	South-eastern Asia
EU482464	South-eastern Asia
EU482705.1	South-eastern Asia
EU482705	South-eastern Asia
FJ410224	South-eastern Asia
FJ410224.1	South-eastern Asia
FJ410221.2	South-eastern Asia
FJ410221.3	South-eastern Asia
EU482469.1	South-eastern Asia
EU482469	South-eastern Asia
0.866520	South-eastern Asia
0.979010	South-eastern Asia
EU482699_FJ410217.1	South-eastern Asia
EU482670_EU482670.1	South-eastern Asia
EU482659.1_EU482659.2	South-eastern Asia
EU482659	South-eastern Asia
0.986051	South-eastern Asia
FM210246	South-eastern Asia
EU482652_JF730049.1	South-eastern Asia
FJ205879_GU131899.1	South-eastern Asia
0.693363	South-eastern Asia
FJ410217_FJ410217.1	South-eastern Asia
EU482670	South-eastern Asia
EU482670.1	South-eastern Asia
EU482659.2	South-eastern Asia
EU482659.1	South-eastern Asia
FJ024452_FJ410195.1	South-eastern Asia
EU482642_EU482642.1	South-eastern Asia
FJ461309_JF730049.1	South-eastern Asia
0.994678	South-eastern Asia
EU482654_EU482654.2	South-eastern Asia
FJ410223	South-eastern Asia
0.946223	South-eastern Asia
GU131899_GU131899.1	South-eastern Asia
EU482699_EU482699.1	South-eastern Asia
EU482701_EU482701.3	South-eastern Asia
FJ410217	South-eastern Asia
FJ410217.1	South-eastern Asia
0.590784	South-eastern Asia
FJ410195_FJ410195.1	South-eastern Asia
EU482642	South-eastern Asia
EU482642.1	South-eastern Asia
JF730049_JF730049.1	South-eastern Asia
FJ461309	South-eastern Asia
EU482652_FJ547064.1	South-eastern Asia
EU677148_FJ859028.1	South-eastern Asia
EU482654.1_EU482654.2	South-eastern Asia
EU482654	South-eastern Asia
FJ410202	South-eastern Asia
FJ205879	South-eastern Asia
GU131899.1	South-eastern Asia
GU131899	South-eastern Asia
EU482699.1	South-eastern Asia
EU482699	South-eastern Asia
EU482701	South-eastern Asia
EU482701.1	South-eastern Asia
EU482701.2	South-eastern Asia
EU482701.3	South-eastern Asia
FM210206_FM210206.1	South-eastern Asia
