node	Africa	Caribbean	Central America	Eastern Asia	Oceania	South America	South-eastern Asia	Southern Asia
n143	2.278397135971594e-06	0.9982329674792653	2.272940058126535e-06	6.3985710852288895e-06	2.1462912032825516e-06	0.0017470233266502395	4.4727097764050455e-06	2.4402848253915584e-06
n183	1.0061443051343351e-07	1.6645236150646345e-07	1.003728043213174e-07	2.918531499119548e-07	9.48282459456979e-08	3.236177990459262e-07	0.9999988144479319	1.0781327677086253e-07
n188	2.464508067543588e-07	4.146600954629836e-07	2.45856783665874e-07	7.463443639557753e-07	2.3243914320711287e-07	7.926822079823349e-07	0.9999970573136536	2.642529454625132e-07
n199	2.7118901463417823e-07	4.439110209626578e-07	2.705392318842648e-07	7.651901733653713e-07	2.554833373216012e-07	8.722605672384814e-07	0.9999968309495086	2.904771457702403e-07
JX649148	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n207	2.4025110569183483e-08	3.9543028205473426e-08	2.396011913406219e-08	6.839648638024789e-08	2.5044649606916078e-08	7.725123119162285e-08	0.999999715467582	2.6311792806433474e-08
DQ181804	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n314	3.423334740327668e-08	5.593533987422664e-08	3.415027025759041e-08	1.601352824969538e-06	3.224811648844889e-08	1.1010576879472079e-07	6.75550522564922e-08	0.99999806441928
n318	5.942085000783091e-08	9.709267263517505e-08	5.927852524632737e-08	1.669611714837651e-07	5.59755048009541e-08	1.9112316028892898e-07	1.1664792309889947e-07	0.9999992535001924
AB189123	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AB189123.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
GU370051	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n332	4.6101677632312585e-07	7.532861239492012e-07	4.599077880923405e-07	1.2948537751056894e-06	4.342819940577668e-07	1.4828140468727801e-06	0.9999946200516843	4.937878112770555e-07
n333	3.478939307167988e-07	5.684525260520647e-07	3.470604555583409e-07	2.1810581091658925e-05	3.2772213061452724e-07	1.1189767424572215e-06	0.999975106699552	3.726135708980233e-07
n338	8.846226169657782e-12	1.4454555295334548e-11	8.825018920203115e-12	2.4843372666572058e-11	8.333287192641952e-12	2.8453229878251915e-11	0.9999999998967695	9.474836635178443e-12
JN851127	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AF100465	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JX966379	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AF100468	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
GQ868592	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n19	1.4647303662294765e-08	1.9174516147736777e-06	1.7986580555363597e-08	4.113497209589327e-08	1.3798023583713866e-08	0.9999979505396247	2.875383800628731e-08	1.5688042543047948e-08
n20	3.582548819055768e-07	0.00022405456170178465	0.00010787842159710774	1.006111038681628e-06	3.3748263572310684e-07	0.999665278147389	7.033105958702846e-07	3.8371015970674664e-07
n89	2.4468292226718845e-08	0.9999764375234703	2.44204810497958e-08	6.871945282070828e-08	2.3050081774336868e-08	2.3347424524289798e-05	4.818631914457261e-08	2.620737853369614e-08
EU482546	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n111	1.9626461527384293e-13	0.9999999999967543	1.9579454772329608e-13	5.511840946364926e-13	1.8488500743070173e-13	1.5221675724158762e-12	3.853458640094324e-13	2.1021007713918523e-13
EU482545	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n113	1.6002569401734083e-09	1.0327038531179739e-07	1.5964241323275117e-09	4.494107757347257e-09	1.5074711857225966e-09	0.9999998826758536	3.141540290435389e-09	1.713960807948601e-09
